,0
2989,맞는 말인데 여가부장관이 왜 필요한데? 성추행 나오면 입장발표하는게 여가부가?도대체 쟤들은 세금 축내는 역활말고 뭐하는질 모르겠네
2990,뭐야 왜이리 정상적이야??? 뭐지???
2991,그래도 나름 소신있는 사람을 후보로 내세우긴 했네요.
2992,ㅋㅋㅋ 만진당 애널써커들 인지부조화 오겠넼ㅋㅋ
2993,저여자가 뭐라 주장하시는지 보셨나요? 남편과 부인의 수입 차이가 크면 더 많은 세금을 물려야 한답니다. 즉 남편이 1000만원 벌고 아내가 전업주부면 세금 폭탄!!! 그나물에 그밥일 뿐입니다.
2994,"좋아요. 권력형 성범죄 강력대응, 강력한처벌."
2995,그래도 소신있는게 보기 나쁘지만은 않네
2996,아... 저중에 그나마 개념
2997,근데 그걸 왜 여성가족부 장관 후보자에게 물어? 저사람이 장관 후보자지 가해자냐?
2998,간만에 말은 깔끔하게 하는 사람 나왔네요.
2999,더불어 강간당 화이팅
3000,박원순 죽음의 진실은 이래 흐지부지 가는겨? 민주당 작품?
3001,"박원순, 오거돈 피해자들은 더듬어강간당 검찰에 고발해라. 피해호소인 붙힌 전부를 고소 고발해라."
3002,박수 짝짝짝... 이런 생각을 가진 사람이라면 비록 민주당이 추천한 인물이라도 괜찮다. 민주당아 니들은 편가르기 하느라 신경쓰지만 국민들이 바라는 건 바로 이런 거다. 올바른 길을 가는 정치를 응원하는 거다. 정장관 후보를 문재인 정권이 그냥 둘 것 같지는 않지만...
3003,자리에 급급해서 아직 제대로 된 근거하나없는데 매도마라!!!!
3004,레디컬 페미보단 리버럴페미가 정상에 가깝긴한데 여가부는 폐지가 가장 좋음
3005,권력형 성범죄인건 지나가던 강아지도 다 아는사실인데 그사실을 사실이라고 말하는데도 이렇게 오랜시간이 걸리네~ 좌파스러운 놈들~
3006,"너의 엄마가 낙태의 자유가 있었다면.... 문재인, 이낙연, 정청래, 조국, 윤미향... 모두 산폐 처리되었을 것입니다...../// 낙태의 권리???? 참 무서운 세상이 오고 있네요..."
3007,"정영애 여가부장관 인정하는 모습.....용기,정의가 있어 보인다....장관 임명 동의해 주세요...민주당은 성범죄당 확실하네...."
3008,여가부패지해라
3009,정상적인 사고가 가능한 후보가 나와서 다행인데 정부여당의 기준에 부합할까 글쎄
3010,오랜만에 바른소리하는 사람이네.. 장관자격있다..
3011,장관자리에 앉아 있으면 최소한 원칙이 바로 서야 국민들이 믿고 따르지 누가 봐도 권력형 성범죄인데. 말장난이나 하고.
3012,ㄷㄷ 이분 왠지 장관일 잘하실거 같다..
3013,옳은 소리를 여가부가 하니깐 ㅋㅋㅋㅋㅋㅋ
3014,잉?제네들중에 사람도 있네!
3015,성폭행범 박원순 오거돈. 415부정선거조작 사형 뿐이다.
3016,"전임 걸래,보단 나은듯 싶기도 하구만 !"
3017,성범죄자들을 우상화하는 성우상만진당
3018,"이 정권은 성인식, 개혁인식, 밑바닥에 대한 공감대가 전혀 없다.이게 진보고, 이게 나라냐!!"
3019,의식이 좀있어 보이네 이번엔 제되로된 후보 같다여
3020,문빠들이 바른소리하는사람보면 막달려들어 발광할것이다
3021,돌아가신분은 더이상 꺼내지맙시다.치사하게...그렇게 따지면 몇십년전 일도 거론되겠네요.현실은 현실....
3022,상식적이라 되려 당황스럽다. 제대로된 여가부 마지막 장관으로 대미를 장식하고 보건복지부 소속부서로 편입되즈아... ~
3023,여가부장관 후보자 자격충분합니다 존경하고 우아하고 아름다운 멋져부러 오래오래 여가부장관 이끌어가세요
3024,간만에 괜찮은 인사인거 같은데 여당이 또 찍어낼듯
3025,성누리당이잖아 ㅋㅋ 니들이야 돈주고 거래해서 입틀했것지 ㅋ
3026,"고 박원순, 오거돈, 안희정처럼 여직원들 따먹지않는 사람을 뽑읍시다..."
3027,니뽕일보 방가는?
3028,어떤 싸이코 판사가 반대 증거 많은데 유죄를 선고한것처럼 너는 증거 없는데 유죄라 단정하는거냐? 요즘 세상이 미쳐돌아가고 있구나.
3029,"권력형성범죄라... (박시장님) 참 거창하다~ 부끄러운걸 아셔서 스스로 목숨을 끊으신분이다 이젠 묻어주고 미래로 나갑시다! 난, 민주당은 좋아안하지만 박시장님은 좋아했던 소시민이었네요ㅎ~"
3030,조ㅅ선 종양 똥아 다음 뉴스1 폐간해야~ 기레기들의 집단임
3031,이당 저당 따지지말고 국무의원은 맡은 업무에 맞는소신이 있어야한다!! 여가부장관 찬성에 한표^^
3032,"미친거 아니냐? 장관 자격 없다. 아니 어떻게 공소권도 없는 사건인데 피해자, 가해자라 칭할 수 있나? 이건 망자에 대한 명예훼손이다!!! 자격 없다! 꺼져라!"
3033,떠난분 좀 편히 쉬게 해줫으면 좋겟어요.고생만하다 돌아가신분한테 예의는 아님니다.
3034,국민의 힘 놈들은 진짜 정신 못차렸네. 어케 나아지질 않냐.
3035,짐당은 헐뜯기에 혈안이 돼있고 민주당은 앞으로의 여성가족부의 정책방향에 대해서 진지한 토론이 돋보인디.
3036,원래 남성이 여성보다 육체적 힘이 강하므로 성폭행이 일어나는 것이다~ 육체적 힘도 개인 간 권력이라는 점에서 새삼스레 권력형 성범죄라 부르며 침소봉대 할 필요 없다~~’ㅎㅎ 성폭력은 임신이나 낙태 출산의 부담이 없는 남성의 성욕이 여성보다 더 적극적이고 강하기 때문에 자연발생적으로 생기는 것이다. 금주법이 실패했듯이 이 또한 절대 없앨 수 없다!ㅋ
3037,정경심 재판부 탄핵 청원이 하루만에 10만이다 자신의 권한을 정치적으로이용한것들은 반드시 책임을 물어야한다
3038,박시장 성추행?사건의 본질은그여자핸드폰 제출하면 끝!굳이 박원순 핸드폰 볼필요없다.자기핸드폰에 어떠한 증거도 없어!박원순 유족이 피해자와그변호사 고소하면 승리한다.성추행했다는 어떤증거도 내놓지 못하고 언론플레이만 하는것이다.
3039,전 세계에서 유일하게 있는 여성가족부 ㅋ 페미가족구 빨리 없애라. 도대체 왜 있는거냐?
3040,왠일이냐.. 민주당에 이런 분이 있었네.. 윤석열 처럼 임명되고 나중에 집단 이지메 당하는 거 아닌가 몰겠다.
3041,임명하고 나서도 소신발언하면 인정한다
3042,동성애가족 할거면 물러나세요.
3043,여가부자체를 없애라
3044,그래도 소신 있는 답변이 보기는 좋네^^이분은 긍정적으로 본다.
3045,혹~~~지령내렷나///여론돌리려고
3046,설마 일단 되고 보자 이건 아니겠죠 장관이 됐어도 소신있는 모습 부탁드립니다
3047,차라리 유명무실한 여가부 자체를 없애는 것이...
3048,"ㅋㅋ 김태년처럼 또 말못하겠구먼,,더불어성폭행단 놈들 또 성폭행이나 안할런지 ㅋㅋㅋ"
3049,여가부자체가 남여 불평등이다 그러니 여자들 표좀 땡길려고 애쓰지말고 빨리 문닫아라
3050,막줄저거 돈 더달란 얘기 맞지?
3051,국회의원 머닛속에 들어가보고싶다. 과연 여성가족부라는곳의 존속이유를 뭐라고 생각하고 있는지 정말 궁금하다.
3052,입이 10개라도 할말이 없어야 하는 민주당.....무슨 할말이 그렇게 많노?
3053,젊은 여성이 성범죄에 고통받는거보다 좌파 이념이 우선하는 주체사상 문재인과 폐미니즘 감정 증오 반복주입 학습된 나이먹은 좌파 여자들
3054,눈치보는순간 걸렀다
3055,피해 증거가 없이 여성을 무조건 피해자로 간주하고 법적인 증거를 주장하면 2차가해라하고 그런 성역으로 만드는게 법치주의인가?? 페미당을 자처하는 민주당 논리에...보수들이 공격수단으로 그걸 사용하니..성범죄 탈법치주의 비정상인 나라로 가고 있다.
3056,박원순과 오거돈부터 처리하시죠~
3057,정말 이런 사람이 여가부장관 후보라니! 원칙이 없이 현실만 바라보는 사람은 옳은 방향으로 인도할 수 없습니다생명을 존중하고 정상적 가족을 지원하는 것이 사회를 건강하게 합니다온갖 비정상을 다 인정하고 낙태죄 폐지하고... 이럼 어떻게 되겠습니까
3058,"정영애님...그래도 최소한 ‘여성가족부’라면, 가족 구성원 전체가 상생, 공존할 수 있는 통찰력이 있어야죠! 가족이 여성만 사는곳입니까? 남자, 여자, 태아...이 구도에서 고민하지 않고, 급진 페미들이 주장하는 ‘자기결정권’같은 말을 하는데...이보셔요! 자기결정권은 섹스전에 해야지, 왜 남녀가 일은 저지르고 무죄한 태아가 죽어야 합니까! 도대체 님같은 분이 여가부 수장이 되면, 이 나라는 무슨 희망이 있는겁니까! 여가부를 아예 폐지하라!"
3059,"여성건강권 누가 몰라서 그런가요? 중요한 것은 왜 절대약자인 ‘태아 생명권’은 철저히 외면하나요? 급진 페미니스트들에게 공격받을까봐 두렵나요? 그런분이 정부부처 수장을 생각한다고요? 어쩌면 그렇게 급진 페미니스트들이 하는말 앵무새처럼 똑같이 말하나요? 태아생명권을 말하면, 양심이 깨어날까봐 두려우세요? 정말 실망 대실망입니다! 정부 부처 수장으로 부적합합니다. 자격없습니다."
3060,낙태죄 폐지 반대합니다!! 생명윤리와 성윤리가 바로서야 가정이 살고 나라가 삽니다!! 젠더 이데올로기의 젠더 평등 가족부를 해체하라!!
3061,여성가족부가 가정을 위한다면 낙태죄 폐지에 앞장 선 인물인 정영애 후보를 세울 수 없다고 생각합니다. 문대통령의 마음이 어떤지 알 수 있는 대목입니다. 낙태죄 폐지 반대합니다. 태아는 사람이고 우리도 그런 시기를 거쳐 낳아주셔서 살고 있습니다. 문재인대통령은 생명멸시하지 마세요. 에스더처럼 생명학살을 멈추지는 못해도 거들지는 마셨어야지요. 명색이 천주교인이 아닙니까!
3062,낙태죄는 폐지해야된다 실수로 임신시켰는데 낙태 하려면 돈 많이 깨지잖아 합법으로 바꾸고 금액 줄여라
3063,사회적 분위기가 좀 더 바꿀 필요가 있다고 봅니다 건전하게 남 비하하는 말하지 말고 치욕적인 기생충 같은 짓하지말고 권력이 무슨 벼슬처럼 구는 후까시 같은 것 말고 진지하게 성장하는 진실을 말할줄 알게
3064,역겹다 진짜...토 나온다
3065,정영애 여성가족부 장관후보자의 현재의 인식에 공감하고 건전한 정신을 가진소유자라고 본다 여성의 인권과 가치에 정치에 일히일비하지말고 자신의 역할에대해 나라를 위해 봉사해주시기를 간절히 바랍니다 임명에 찬성합니다 앞전 그양반의 인식론과는 정반대라 생각되어 감사하게 생각합니다
3066,"이제 겨우 소신있는 장관 한분 모셨나 봅니다. 모든이가 공감하는 인사 단행하면 나라가 얼마나 조용할까? 그동안 인사를 망사로 만들은것도 부족해 여당에서는 또 변뭐시기, 이 뭐시기를 장차관으로 단독 처리하려 수작을 부리고있습니다. 여당 이놈들은 국가와 국민을위해 일하라고 뽑아줬더니 청와대 거수기 짓거리도 부족해 오히려 앞장서 더 미치광이짓을 하고있으니 국민이 분통터질수밖에 없습니다. 더이상의 입법부 독선과 무법질주를 멈추기 위해서는 국민 모두가 이제는 나서야 할때입니다. 더이상 미치광이들한테 나라를 맡겨선 안됩니다."
3067,여당권 인사들중...그래도..이분은..양심과 소신으로 일 할 분인거 같네요...그런데...윤석렬처럼...미운 털 박히고...쫒겨나진 않을지...
3068,여당에서 통과 안 시키면 졸 재미있겄다. 그런데 여가부는 필요도 없는데 언제 없어지냐?
3069,이말. 한마디 듣기가 그렇게 어려웠다니!
3070,그래도 이분은 장관으로써 자기 소신은 눈치 안보고 말할 수 있는 용기가 있어서 보기 좋네요.여가부는 싫지만 그래도 이 장관후보자로써의 자격은 있어 보입니다.기존 여가부가 욕 먹었던 부분에 대해서 잘 고민해서 여성만을 위한 부처가 아닌 가족부이니 가족을 위한 부처가 되었으면 합니다.
3071,위안부 할머니들을 돈벌이 수단으로 악용한 윤미향에 대해서는 어떻게 생각하시나요??
3072,제2의 윤석열되려나 기대해본다
3073,오랫만에 여가부에 걸맞는 분이 나오셨네요~~앞으로 소신껏 눈치보지말고 좋은 지도자되시길요~화이팅!!~~
3074,부부소득격차 어쩌고 그건 철회좀 하세요 아줌마.
3075,어떻게 저런 생각을 가진 자가 여가부 장관후보야
3076,+ ㅇㅇㅇ.ㅇㅇㅇ
3077,소신있게하라~~
3078,여가부ㅋ 쓸데없는거 만들고 난리네 휴
3079,ㄱㅐ여가부 해체 하라 !!!
3080,"여가부가 왜 필요한지..,"
3081,다음 정권에서 여가부 폐지 해라 세금 도둑들 즈런것들 인간이냐 추악녀 급이지
3082,탄핵 이거말고는 답이 없다 . 저넘들 국민들 안위에는 전혀 신경 안쓴다 . 1년이 다 돼가는데 저 넘들 코로나 피해가족과 국민들에 사과 하는거 봤냐? 오로지 공수처와 국민들 옥죄는 법만 탐구하고 있다 . 정신차려라 국민들아 . 당신들 자녀들이 한국이 아닌 고려연방제 이 딴나라에서 살지는 당신들 선택이다 . 맞서 싸워라 . vendetta . 피의 댓가는 반드시 받는다 .
3083,이제 여가부를 폐지하고 아청법같은 쓰레기법도 폐지합시다. 시대에 맞지않음
3084,차기정부에서는 여가부를 폐지하라
3085,여가부 폐지하라
3086,그래서 어떻게 처단할지도 밝혀즈세요
3087,"이번 후보자는 정상적. 다만, 여가부는 영구폐지가 답. 남이고 여고 편가르기 식 부처는 없애야 함."
3088,민주당에서 여성부 개혁해야한다고 징계줄듯
3089,여가부장관은 윤미향이거다.
3090,"여가부가 좋든 싫든 그걸 떠나서, 여가부장관이라면 이런 소신은 있어야지."
3091,이게 정상이지. 이제 신적폐 청산하자.
3092,문재인 정부 장관 청문회에서 처음으로 옳은소리 하는 장관 후보자네. 하지만 여가부는 폐지가 답이다.
3093,오거돈은 그렇다 치고 박원순 시장은 김재련이와 고소인의 거짓 증거라는게 하나둘씩 밝혀지고 있는데 이아지매 미친 아지매 아닌가? 이런 미친 아지매까지 장관 시켜줘가며 여가부따위로 세금 낭비 좀 그만하자.
3094,모처럼 소신있는 장관후보자네요
3095,여가부 폐쇄해라
3096,"돈만 처먹드시고, 묻지도 따지도 않고 여자라서 도와주는게 당연한건가.? 여가부야, 윤지오 무작정 도와준이유가 단지 여자라서??? 여가부 장관들 얼굴을 보면 얼빵해서 무슨 생각으로 일하는지 궁금하다. 세금이 눈먼 돈이냐.? 문로나가 그렇게 세금 막쓰라고 독려하냐?? 대통령이나 여가부 장관이나 무능하고 멍청해 보임"
3097,그냥 여가부 해산하자 아무 쓸모없는 존재 아닌가?
3098,그나마 이제는 제대로된 여가부장관이 나오겠는걸
3099,여성부는 왜 있는거야?남녀 분열 조장이 여가부의 임무 아닌가?제발 여성부좀 없애라..전국민이 바란다.차기 대통령은 여가부 해체 공약하면이십프로는 올라간다..
3100,아니 여가부 하는게 먼가요?유니클로 홍보하는데 아닌가요?진짜 필요없는 집단 ..생각없는 김여사 집합소
3101,대선공략에 여가부 해체한다고 하는 후보있으면 허경영이라도 찍어줄수있다
3102,"당장 여성부 폐지해라,, 범죄집단의 암덩어리들... 나랏돈을 얼마나 썼길래 정의연 자료재출 공개 안하는거냐?? 위안부운동 위장해서 30년동안 성착취로 길가에 내놓고 앵벌이나 기부금을 뜯어먹고 호의호식한 페미범죄조직단체들.... 정말 죄질이 아주 나쁜 페미범죄조직에 여성부나 정의연대도 전부 적폐청산에 감방에 쳐넣어야 해.."
3103,"태아살인에 앞장서는 급진 여성단체와 정의연과 결탁된 여가부 필요없습니다. 지금까지 남 녀 갈등과 분란만 일으킨 국가기관이며 초등생 아이들에게 동성애, 수간까지 묘사된 가막힌 그림책을 쥐어주려한 여성가족부 부모로서 거부합니다. 낙태죄 폐지하라고 외쳤던 여성계사람을 여성가족부에 앉힌 문대통령은 지금이라도 낙태죄 폐지를 멈추고 태아와 여성을 위해 일하십시요! 청소년과 여성을 무분별한 낙태로 내어몰 지 마세요! 태아는 우리도 그랬듯 사람입니다."
3104,"빠들로부터 얼마나 비난을 받으려고....? 아님, 청문회 통과를 위해 사전에 거짓답변하기로 담합이라도? 어찌되었든, 장관 후보자의 말에는 일반인과 다른 무게가 있으니 언행은 일치하겠지?"
3105,여가부를 폐지하라! 국민혈세가 아깝다. 왜 건강한 가정을 해체하는 곳에 어마어마한 국민세금이 투입되어야만 하냐?
3106,젠더 평등 가족부는 해체하라!!
3107,"청문회들으면서 너무 화가 난다! 사람이 그렇게도 없는가? 급진 페미니스트 이상도 이하도 아니다! 가족이란 개념도 뒤죽박죽이다. 남녀 상생, 공존이 아닌 대립갈등만 조장하는 부처가 바로 여가부이다. 게다가 뱃속국민 알기를 파리목숨보다 경시한다. 어떻게 여가부 수장으로 지명된 사람이 태아를 다 죽이는 것에 찬성할까?"
3108,당연한 대답 아닌가? 그런 대답 들을게 아니고 하는것도 없이 돈만 잡아먹는 여가부는 폐지 하는게 답이다.
3109,"이 당연한 말이 왜 대단하게 들려야 합니까! 얼마나 권력자들이 부패했기에 이 말을 듣는 게 이토록 힘듭니까! 내로남불, 도덕성이 희귀한 시대에 살아간다는 게 화납니다. 국민들이 부여해준 권력을 갖고는 싶지만...정작 절대약자인 미래국민 생명권에 대해서는 1도 관심없는 자, 오히려 태아살인권을 주장하는 급진 페미가 여가부 수장으로 지명되었다니 비참한 나라!"
3110,"인정할건,인정해야 사람이지."
3111,그나마 양심이 존재하는거 같아 다행이네요
3112,민주당은 당규대로 부산 서울 시장 후회 내지마라 꼴도보기싫다
3113,박원순 오거돈은 조주빈보다 더 나쁜것들이라고 봐야지~ 국민이 준 권력으로 성범죄를 저질렀으니~ 이런것들을 옹호하는 것들은 개돼지보다도 못한 것들이라 보는게 맞다...
3114,민주당은 성 희롱당
3115,맞는걸맞다고 말하는게 이렇게 힘든 사회가 되었네요ㅠ
3116,넌 장관하도 돼
3117,권력형 성범죄의 최고당!더듬더듬당
3118,권력형 성범죄자 맞지.. 둘다 민주당 맞지?? 역시...
3119,여가부에서 이런 사이다가 나와야 ...!!!
3120,이재~~재대로댄장관 입각 환영 ~~
3121,저놈에 민주당은 저거가 뽑은 장관이 정의를 말해도 겁나는모양이야
3122,"백사장에서 바늘 찾듯이,,,, 민주당에서 처음으로 정상인 한명 나왔네~"
3123,더불어 애들은 지네 정권유지 외에는 관심이 없음 그러니까 대표라는 작자가 야당탓 하다가 국민들한테 처발리지..
3124,야당 여당 떠나서 잘못 한것들은 법의 심판 받자
3125,그래 살아있는 권력이 아니라 살아있는 법을좀보자 원순이는 갔으니 덮고 거돈이는 살아있으니 구속 전자발찌 차고 징역 15년 법은 공평해야지
3126,저 여가부장관도 그냥 저렇게 말하는듯 어차피 민주당애들은 다 똑같음.
3127,성범죄가 아니면 왜 한놈은 자살했나요?
3128,근데 여가부 왜 필요한지 잘 모르겠음 맨날 이상한짓만 하는거 같던데 여성과 가족을 위해 대체 뭘했나요 저기서
3129,박원순 폰이나까라?어디까지갔나 확인좀 하고싶다.
3130,아닌건아니라곶할줄알아야지. 물론 좌빨운동권애들은 용납못하겟지만
3131,당연한 말을 한 것인데 지금까지 현 정부와 집권당은 이 말을 하지 못함ㅋㅋㅋ 성범죄자 하나 때문에 세금을 얼마나 낭비하는 것이냐?
3132,어디든지 어떤 위치에 있든지 소신있고 올바른 사람이 나라를 이끌었으면 좋겠다!
3133,뭐 당연한 소리를 이제와서 ㅋㅋ 서울시 장 치뤄 줄때는 언제고
3134,권력의 딸랑이가 대지말고 진정 여성과 가족을위해 일하시게나!
3135,문재앙 주변에 이런 사람은 처음이다.. 문빠글한테 문자폭탄 받겠는걸~
3136,대깨들한테 공격 받겠네.
3137,오랜만에 옳은말하는 장관후보자
3138,여가부 폐지는 죽어도 안하려나보다.
3139,드디어 양심을 보았다.. 참 당연한을 너무 힘들게 찾았다..ㅜㅜ
3140,편파가 공정이 아니라 사리분별이 명확하고 좌로나 우로 치우치지 아니하는 공직자가 공정이다.
3141,슬슬 문패거리에서 발빼는 분위기구나
3142,여성 가족부 장관은 왜 여자만 하는거임? 이거 성차별 아님?
3143,오랫만에 제대로된 답변
3144,민주당 댓글알바 어리둥절ㅋㅋㅋㅋ
3145,엇! 문대통령님이 왠일? 또 눈치 보지 말고 소신있게 일하라고 하시고 괴롭히시지 않겠죠?
3146,아니 이게정상이고 당연한건데 이번정권들어서서 너무비상식적인일들이 많다보니까 이게뭐라고 안심이되냐
3147,그렇게 소신을 밝혔으면 행동을 해야지 니가 박원순과 오거돈의 성추행 사건을 다시 고발하고 선두에 서서 피해자의 억울함을 풀어줘라
3148,문재인측근중에 사람이 한명은 있었네요.. 아무리 문재인신이 유일신이라도 자식들에게 부끄럽지않게 옳고그른 소신은 지킵시다!!
3149,여가부 없애라
3150,알면서 더불어강간당 지지하지는 않겠지
3151,자 그러면 시민장 치른 장례비용 게워내야지
3152,민주당에서 정상인들은 빨리 잘린다 저사람도 금방 경질될거같네
3153,메리 정경심 교도소 마스 ^^
3154,먼일로 정상인을 추천했대?
3155,소신답변 좋아요정권눈치 안보고 소신발언 감동
3156,더듬어 만져당 당헌 92조 : 당 소속 선출직 공직자가 부정·부패 사건 등 중대한 잘못으로 그 직위를 상실해 재보궐선거를 실시하게 되는 경우 해당 선거구에 후보자를 추천하지 않는다'
3157,박원순은 진짜 그렇게까지 결국 될인물이 아닌거였는데 과분한자리에 있다보니 본성을못 이긴체 추한추태를보인거다 오세훈 박그네가 문제인에 타이밍 기막히듯 오세훈 무상급식이란타이틀 반대찬성에 운좋게 안철수꼬셔서 되드니정몽준한테 께질걸 아들의 생각없는 말에 서민들괴리감 느낀건데 박원순은 서민였나?월300만 아파트서 살면서 지난 시장선거때 재산공개가 -몇십억인가그런인물을 좋타고뽑았다 그선거 경쟁자안철수는 아닌거같고 김문수는더아니니 한미디로 운에운을더해 시장을한건데 무슨 성범죄자를 고인이라고 감싼건지 지들똥딱으려지 몰라도 성범죄자맞다
3158,이 사람은 장관 자격있다.문재앙이 뽑은 사람 중에
3159,이런범죄자를 세금으로 장례식 해줬다는게... 해외조롱감이다.
3160,남가부도 없는데 여가부가 뭔말이냐 세금 낭비말고 없애라
3161,"고 박원순 전 서울시장, 오거돈 전 부산시장, 안희정 전 충남도지사는 모두 개민주당 당원이었지~ 권력에 의한 성범죄 사건이 맞지~ 개민주당이 문제야~ 개민주당~ 참 조국, 추미애도 개민주당인가~"
3162,문죄인정권은 권력은 쥔 순간부터 온갖 횡포로 국민을 경악시키고 있다
3163,조민 조국 감방
3164,이번 정권에 유일하게 제대로 된 인사다...
3165,실로얼마만에들어보는청문회다운답변 옳고그름에여야가따로있을수없다
3166,오랜만에 제데로 된 마인드를 소유한분이 장관이 돠겟네요 옭고 그름을 구분할줄 모르는 이 나라의 불행한 현실... 현정부여당정권 모조리 합쳐서 최초 1명 탄생인둣 합니다 지금의 정권 줄대기선수들과 최고지도자는 머리엔 온통 수준낮은 사고방삭으로 꽉찬 사람들이 나라를 잡고 흔들고 있으니 지금껏 귝민이 섦이 이렇게도 황폐해 허덕이고 있는것 같은데 가뭄에 단비네요 축하합니다 참고로 전 무당파입니다
3167,당연한예기가 뉴스에 나오는 경험못한나라
3168,없어져야 할 정부 부처 1순위...
3169,"정영애 여가부장관 후보님, 장관 될 자격 있습니다. 나라의 큰일을 할 사람이라면 적어도 이정도의 소신 발언은 있어야 하지요. 청와대, 더불어민주당 국개님들 좀 배워야겠네요~"
3170,그런데 후보자 내는 데는 아닥! 에라이~여성을 팔아먹는 여가부와 여성단체
3171,그래도 원숭이는 일말의 양시이라도있어서 갔지만 오거돈이 구속도 못시키는건 뮘니 ?
3172,이게 맞지 내편이어도 잘못은 인정해야지 임명권자 눈치보느라 호박을 수박이라고 우기며 되것소
3173,아줌마 박원순고소한여자가박원순한테생일때마다 보낸손편지못봤나사랑한다카고 스토커수준이던데 보고이야기합시다
3174,그런 정신상태로는 이 정권의 여가부 장관자리에 못앉습니다...끝까지 내편지키기 자세로 임하세요!
3175,여성부 폐지 시켜라 황당 그 자체
3176,"똑 같은 사안을 사람따라, 이렇게 다른가? 이 여성은최소한 상식은 있는거 같으네"
3177,지저분한 민주당 늑대들
3178,여가부는 성평등을 위해 폐지해야한다
3179,더불어만지자당은 반성하고 후보내지 말아라
3180,네임덕 시작!
3181,이렇게 정신 제대로 박힌 사람을 장관에 앉혀라 변창흠이 말고
3182,더듬당에서 그래도 정신이 제대로 박힌 여자네!
3183,그래 소신을 가지고 문지인 눈치를 보지말고 당당히 맞써서 싸우길 바란다. 한번 기대를 해본다.
3184,장관감 입니다
3185,깨뭉이들과 586 양아치들 (신분 세탁한 테러리스트들)에 의해 아작 날 발언을 양심껏 했지만 금태섭 의원 꼴 날까 걱정됨.
3186,무능한 대통령에 대한 레임덕 현상이 여기저기서 믹 터지네
3187,안히정은?
3188,훠훠훠 그러거나말거나 재발 방지를위해 출마 시키니 대깨문은 투표날 좋아요 누르세요
3189,다 좋은데 안타갑게도 재인이한테 팽당하겠네...에구...그냥 뭇매맞기전에 장관자리 접으세요....
3190,오거돈은 모르겠다만 박원순은 정황들이나 사진들이 다르게 표현이 된다
3191,이번엔 제정신박힌 가족부 장관이 임명되려나?
3192,여러분의 목적은 성범죄 피해 여성들 구제하는거다. 권력 눈치 보지말고 다 잡아라
3193,당연히 성범죄다 ㅡ 이미 고인이더라도 성범죄자였다 ㅡ상식ᆞ정의를 지켜내지
3194,역시 이대출신은 다르다니깐~문재인정부 인사중 제대로된 최초관료임.
3195,사형을 시킬수도없고! 얼마나 지은죄가 더러우면 자살을.
3196,정상이라서 어색해...
3197,침몰하는 배라 이거지?
3198,여성가족부는 보건복지부로 통합 좀 합시다. 진짜 쓸모없는 국무위원임.
3199,"조민 의전원 퇴학은 언제지?,"
3200,문정권에 이런 정상적 사고를 하는 사람도 있네요.여가부 장관 말은 너무도 당연한 말인데 여권과 문파들이 하도 말도 안되는 얘기를 많이 생경하게 느껴지네요.
3201,문재인에게 묻고 싶다. 정말 여가부가 필요한가?소신도 없고 머리도 없고 참 한심하다
3202,이제야 소신발언 하는 사람이 나오는건가
3203,"부끄러운줄도 모르는 성범죄자들,,,,,국민은 바보인줄 압니까"
3204,이번 정권에서 제일 제 정신 있는 장관 후보자인듯...문재인은 이 양반 지명한거 후회 중일 듯 ..
3205,인숙아가만히 있는것이 도와주는거다새삼스럽게 여성 위하는척 하지말고
3206,현정권에서 모처럼 제대로된 분을 장관으로 모셧내?상식에준하는 판단으로 나라위해 열심히 해주시길!
3207,선거가 다가오니
3208,여가부폐지.여론이 강하니 부서유지 차원 대답일뿐 아직 모르겠다 암튼 여가부 폐지!
3209,피해호소인 이라미? 이제와서 뭔소리고? 장례비용 어쩔껀데?국민세금으로 범죄인 장례식비용 누가 마음대로 쓰라했어? 입이 있으면 말해봐
3210,이 분은 제대로 장관하실 분일듯~
3211,저 후보자 걱정된다. 옳은 소리하면 검찰총장 감사원장 처럼 찍혀서 찍어내려유! 조심하세유!
3212,그나마 상식적이네성인지감수성을 교육한다고는안하겠지
3213,나도 사랑하는 딸 키움......
3214,탈락
3215,변창흠보다 박원순 오거돈 정경심 드루킹이 더 휼륭하고 존경받아 마땅하다
3216,양념질당하시것네;;
3217,"말은맞지만,여가부의존재가치못느낌!성평등차원의온갖구구절절부서만들어혈세축내할듯?옹호하는정당의작태는더불어더추한당!!ㅋㅋㅋ"
3218,삼척동자도 성추행이라는 것을 다안다.
3219,양념당하겠네
3220,더듬어
3221,성범죄 범인을 5일짜리 시민장으로 곱게 보내드리는 서울시 클래스~~ 대단해요~!!
3222,도대체 뭘 정당 하단거여..사기 꾼들.. 이런것들은 종신형을 내려야 한다..
3223,당근
3224,제대로 된 장관 후보네...
3225,그나마 소신있는 이정권의 인사라 다행이다
3226,바라보면서 자위했다고 생각하니 끔찍하다야 ㅎㅎ 아 누구인지 지칭은 안할게
3227,그건 당연한거고... 여가부 폐지 좀...
3228,이사람은 혼수상태 아니네..단체로 웃기는 사람들이라서..
3229,"여가부는 페미니즘을 선망하지말고 취약 계층, 성폭행 피해여성, 미혼모 등 여성의 인권을 위해 일해라..양성평등 임을 인지하고 남성 머리위에 오르려하지마라.."
